2026/09/17 19:09:45.674, 47, 21.88 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:47.713, 47, 21.83 W, 1 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:49.751, 47, 21.87 W, 3 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:51.788, 47, 21.90 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:53.827, 47, 21.87 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:55.864, 47, 21.83 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:57.902, 47, 21.87 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:59.942, 47, 21.91 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:10:01.983, 47, 21.85 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:10:04.022, 48, 21.96 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
